number_of_reviews,minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_group,room_type,price
203,3,1,260,1,1,200
108,1,12,356,1,0,85
5,2,1,20,1,0,150
6,3,1,6,1,1,219
0,2,1,365,1,1,359
0,134,1,0,1,0,29
11,5,3,56,0,0,60
51,1,3,365,1,2,25
9,7,3,0,0,1,150
42,30,1,0,0,1,130
3,2,4,158,0,0,30
6,30,2,233,1,1,128
15,2,1,334,0,1,120
6,3,1,0,0,0,40
26,4,1,16,1,1,115
10,2,3,334,1,0,150
5,2,1,5,1,1,145
1,2,1,8,1,1,97
0,1,1,0,0,1,60
1,30,121,345,1,1,369
5,2,1,0,1,0,59
0,30,1,0,1,1,475
1,30,4,130,0,0,50
5,7,47,352,1,0,75
21,2,1,26,0,1,99
1,4,1,0,2,0,65
72,2,1,146,0,1,70
4,14,2,0,0,0,42
124,1,1,24,0,0,55
1,2,4,296,0,0,45
0,30,9,29,0,0,37
0,3,1,0,0,1,150
42,4,1,244,0,1,150
1,1,1,66,0,0,80
0,1,1,0,2,0,60
1,2,1,0,0,0,36
115,1,2,67,0,1,139
7,1,1,156,1,0,125
57,2,1,129,1,1,160
2,1,1,21,0,0,64
6,2,1,0,2,1,100
2,3,2,365,0,0,65
1,1,1,0,1,0,51
149,2,1,16,1,1,140
2,1,1,0,0,1,99
21,1,3,291,1,0,20
0,2,1,79,1,1,245
0,3,1,0,0,0,400
2,7,2,0,2,0,60
0,3,1,0,1,1,127
88,2,4,0,0,0,135
0,2,1,48,1,0,150
0,1,1,0,1,0,46
2,3,1,3,0,1,80
227,3,1,247,1,1,295
2,1,1,0,0,1,120
0,1,1,0,1,1,180
8,2,1,0,1,1,161
0,2,1,0,1,0,65
77,3,3,354,0,0,73
0,1,1,0,1,0,112
2,5,1,78,1,1,200
3,25,1,0,0,0,31
2,30,43,306,2,0,43
48,5,1,2,1,1,125
0,2,1,90,1,0,95
1,30,6,304,1,0,50
18,5,2,118,1,0,80
112,1,1,221,0,1,125
4,3,1,2,1,1,160
1,2,1,0,1,1,175
18,2,1,247,1,1,162
54,2,1,16,1,1,260
4,2,6,260,0,0,40
22,5,1,40,1,1,137
20,30,1,15,1,0,68
1,3,1,0,0,0,32
0,10,1,0,0,1,102
2,3,1,0,0,0,49
54,2,2,193,1,1,80
33,2,2,0,1,0,100
5,3,1,226,1,1,180
31,10,1,55,1,1,165
1,3,1,155,1,1,299
0,10,1,0,0,1,110
0,1,2,329,2,1,275
2,29,5,32,2,0,40
0,1,1,160,0,0,195
6,5,1,31,0,1,125
41,1,1,81,1,0,65
14,1,2,128,1,0,45
2,4,1,0,0,0,50
2,30,103,186,0,0,41
0,1,2,177,0,0,120
32,6,2,251,1,1,200
13,2,4,236,0,0,39
93,1,2,0,0,1,80
25,2,2,177,2,0,70
67,4,3,102,1,0,98
0,10,1,78,0,0,250
11,1,1,157,0,2,30
467,30,2,192,0,1,120
0,1,1,0,0,0,65
3,5,1,0,0,1,115
24,7,2,0,1,0,55
5,3,1,0,0,0,50
65,2,1,236,0,1,195
100,1,8,76,2,0,60
9,1,2,0,0,0,25
0,2,2,281,2,1,180
26,30,1,269,1,1,150
4,5,1,0,1,1,120
24,5,1,20,1,1,105
8,2,1,0,1,1,106
0,1,1,0,1,1,350
119,2,1,78,1,1,190
0,3,1,0,0,0,96
126,3,1,228,1,1,140
4,4,1,345,1,1,450
7,1,1,0,0,1,100
0,1,1,0,1,1,550
41,2,1,340,0,0,55
23,1,2,93,2,0,99
1,14,1,0,1,0,68
0,30,14,365,1,1,190
0,30,103,242,2,0,48
1,1,1,0,0,0,38
1,2,1,0,1,1,220
111,1,5,244,1,0,174
66,1,1,353,1,0,109
76,3,2,89,0,0,60
1,4,3,173,0,1,200
0,2,1,0,1,1,174
0,2,1,0,2,0,55
0,7,1,0,1,0,35
63,3,2,50,2,1,60
2,2,1,360,4,1,75
2,1,1,0,0,0,49
13,2,4,238,1,0,80
192,5,2,281,0,1,92
1,5,1,0,1,0,40
10,1,1,0,0,1,100
3,1,1,0,0,0,75
5,1,1,17,0,0,80
19,6,2,7,2,1,65
26,2,2,355,1,0,85
8,30,39,275,1,1,150
29,2,1,58,1,1,305
0,1,1,0,0,1,130
73,1,3,65,0,0,200
61,30,1,205,3,1,91
0,2,11,173,1,1,276
13,3,1,207,1,1,150
2,3,1,205,0,1,200
29,2,1,298,2,1,300
11,6,1,177,1,1,325
0,2,1,0,0,0,50
2,1,3,353,0,0,135
36,1,2,329,0,0,67
128,1,2,145,2,0,40
3,2,1,14,0,0,80
0,30,50,364,1,0,222
321,1,1,185,1,1,165
5,2,1,165,1,0,95
335,3,1,152,0,0,101
25,7,2,42,1,0,60
3,1,2,0,1,0,83
37,1,1,39,2,0,48
9,3,2,0,1,1,400
5,1,2,351,0,0,45
179,1,1,116,1,1,175
2,2,2,0,2,1,86
0,30,23,335,2,0,34
83,1,1,248,0,0,99
124,2,1,58,0,0,100
7,3,1,0,0,1,170
7,2,1,36,0,0,55
0,2,1,353,0,1,110
4,6,1,0,1,0,95
0,2,1,0,0,0,115
58,3,1,341,1,1,349
5,6,1,0,1,1,137
0,14,1,87,1,0,99
36,2,1,365,2,0,113
39,2,1,0,1,1,200
0,30,121,185,1,1,499
12,2,1,356,0,0,80
36,5,1,124,1,1,350
4,1,1,35,0,1,100
19,5,1,301,0,1,355
0,3,3,12,1,0,110
4,2,11,354,1,1,140
0,14,1,0,1,0,95
2,1,1,0,1,0,95
16,2,1,0,0,1,150
2,4,1,0,1,0,80
0,29,327,332,1,1,189
135,1,3,311,1,0,110
7,3,1,6,1,1,90
46,4,1,72,1,0,85
0,7,6,343,0,2,25
1,5,1,0,1,1,200
2,1,1,0,2,0,150
5,31,1,365,1,1,285
0,1,1,0,1,1,200
2,2,2,0,0,0,90
40,2,1,0,0,0,65
12,2,4,189,0,0,59
1,1,1,0,0,0,65
44,1,3,36,1,0,90
2,2,1,44,0,1,195
16,28,3,365,1,0,70
5,60,1,76,1,1,115
5,1,1,0,1,1,225
10,2,4,128,2,0,44
74,3,3,212,1,0,125
0,29,327,331,1,1,207
8,2,327,356,1,1,227
0,30,1,280,1,1,130
114,2,1,363,1,0,97
31,1,5,361,2,0,95
6,4,1,0,1,1,325
7,2,1,32,0,1,105
0,4,1,365,2,0,400
1,3,1,0,1,0,39
4,14,2,179,0,1,165
63,1,1,82,0,1,148
70,2,1,175,2,1,180
19,30,1,281,0,0,55
1,2,1,0,1,0,80
92,1,1,312,0,1,90
237,2,1,266,0,1,190
5,3,1,8,1,0,185
3,2,327,340,1,1,235
0,15,1,0,1,1,70
31,2,3,175,0,1,169
0,25,1,54,1,1,100
17,1,1,311,0,0,50
9,17,1,0,2,1,101
18,2,1,0,0,1,299
2,1,2,0,0,1,79
2,3,2,0,1,0,55
10,1,1,0,0,1,175
26,4,1,73,0,0,55
2,1,5,23,1,2,95
0,2,2,88,0,0,75
48,2,2,263,0,0,84
3,1,1,0,1,0,55
2,5,2,364,0,1,150
12,14,4,0,1,0,46
1,2,1,0,2,0,65
2,30,96,244,1,1,140
2,2,1,0,0,0,65
12,1,1,163,1,1,120
0,30,232,359,1,1,314
18,2,3,299,0,1,150
7,2,1,41,2,1,120
0,30,1,0,4,1,80
0,30,50,365,1,1,150
79,3,4,312,0,0,45
0,30,27,358,0,0,42
146,2,2,265,1,0,119
0,4,1,45,1,0,82
2,1,1,0,0,1,90
13,14,4,340,4,0,59
44,1,2,98,1,0,95
95,1,2,0,2,1,50
7,1,1,0,0,0,45
10,2,1,173,4,1,309
0,7,1,0,1,0,150
1,5,3,4,0,0,70
2,1,2,0,1,0,80
0,2,4,189,0,0,200
26,5,1,0,0,1,165
4,12,1,0,1,1,105
14,2,3,90,2,0,155
0,60,6,210,1,0,55
1,2,1,10,0,1,180
1,2,1,58,0,1,300
36,2,7,71,0,0,72
454,1,1,353,2,2,39
10,2,1,8,1,0,80
56,1,5,361,2,0,149
89,4,2,282,0,1,115
2,1,1,0,1,0,50
1,27,1,0,1,1,200
156,2,1,263,2,1,125
0,30,232,43,1,1,285
102,1,1,33,2,1,100
57,2,3,351,1,0,120
3,3,1,0,0,0,30
8,1,1,192,1,1,300
14,1,1,0,0,0,67
2,1,4,360,3,0,35
7,1,1,0,0,0,45
13,2,3,282,0,0,50
20,3,1,131,0,0,40
11,1,17,221,1,1,163
8,1,1,0,1,1,164
1,1,2,188,1,0,75
14,5,2,10,0,0,68
58,2,1,0,1,0,64
19,10,1,0,0,0,59
0,3,1,10,1,1,143
2,2,2,34,2,2,35
12,2,1,5,1,1,119
23,30,1,0,1,1,85
167,2,1,261,1,1,180
29,5,1,74,0,1,285
0,2,1,34,1,1,120
53,2,1,150,1,1,195
3,2,1,0,1,1,105
1,1,2,250,0,0,91
15,1,1,170,1,1,90
35,4,1,79,1,1,375
2,3,1,55,1,0,100
2,3,1,0,0,1,215
12,1,1,0,0,0,50
3,2,1,0,1,1,250
11,3,1,0,0,1,104
201,1,4,5,0,0,72
3,2,2,0,4,0,65
7,1,6,177,0,1,249
67,3,2,40,0,0,70
6,1,1,365,1,0,175
79,3,1,28,1,1,200
0,5,1,165,1,1,155
3,1,2,0,1,0,75
86,3,1,25,0,1,100
44,2,1,1,0,0,60
0,7,1,0,0,1,100
14,1,1,0,1,0,75
23,3,3,321,0,0,65
58,3,2,2,0,1,90
2,3,1,0,1,1,100
1,30,15,303,2,1,120
0,7,1,15,1,0,200
15,2,1,188,0,0,90
61,4,1,15,0,1,115
0,7,1,0,0,0,100
1,1,1,0,0,0,55
14,3,3,89,1,1,350
0,4,1,19,0,1,99
1,3,1,0,0,0,475
3,4,2,0,1,0,70
18,1,2,141,2,1,99
115,4,1,312,0,1,93
24,1,1,296,0,1,201
17,3,1,6,0,1,100
3,3,2,0,1,0,150
19,3,1,104,2,1,65
6,1,3,364,0,0,150
12,3,1,5,2,0,46
93,2,5,202,0,0,50
30,6,1,0,0,1,75
259,1,1,307,2,1,96
0,1,1,0,0,0,45
75,1,1,134,1,0,120
0,1,4,0,0,0,100
4,7,1,56,1,1,187
1,7,1,0,1,1,150
26,2,2,6,0,0,65
1,4,2,0,0,0,100
2,1,1,33,2,0,89
1,14,1,88,1,1,250
9,4,1,48,1,0,50
4,3,1,331,0,0,80
3,2,4,353,0,0,85
3,1,1,270,1,1,170
114,1,1,0,4,0,35
0,3,1,0,0,1,200
296,1,7,59,0,0,79
0,1,1,0,0,1,110
4,4,2,0,0,1,175
1,30,121,306,1,1,139
1,4,1,0,1,1,120
3,3,1,363,1,0,100
6,5,9,323,1,0,180
1,30,25,322,0,0,48
4,3,1,0,0,1,75
10,10,1,33,1,1,500
9,1,8,0,0,0,40
63,30,1,321,0,1,100
0,6,1,297,0,1,149
3,2,2,0,1,0,75
16,30,2,190,0,0,60
27,1,1,39,0,1,100
41,2,4,316,1,0,150
39,1,3,306,1,0,80
180,2,1,0,0,0,56
25,7,1,16,0,0,150
60,1,1,101,1,0,65
50,3,1,40,2,1,245
0,1,1,0,1,0,47
11,1,1,0,1,1,157
211,3,1,6,1,0,71
1,10,2,0,0,0,31
0,1,2,0,1,1,200
0,1,1,0,1,1,749
2,1,10,127,2,0,70
20,4,3,310,1,1,145
2,6,1,49,0,1,200
0,5,1,0,1,1,400
0,7,1,16,0,1,190
128,2,1,255,2,1,122
8,5,1,27,1,1,151
9,3,1,0,2,1,76
23,3,1,172,3,0,69
7,2,1,0,0,1,125
143,3,1,23,0,1,107
61,2,4,95,1,0,125
4,3,1,0,1,1,85
24,1,2,0,0,0,50
7,1,2,188,1,0,85
2,2,1,0,0,0,50
3,3,1,26,0,1,82
116,3,1,261,1,1,120
26,4,1,0,1,1,200
3,1,2,11,1,0,120
0,15,1,0,1,1,100
1,2,1,0,1,1,150
1,1,1,0,0,0,45
1,1,1,59,1,0,150
149,2,1,142,0,1,67
11,7,1,0,0,0,60
1,30,26,31,0,1,121
0,4,1,0,0,1,100
0,4,1,179,0,0,150
22,5,1,362,1,1,155
46,1,2,192,0,0,83
30,3,1,4,1,1,125
16,3,2,3,2,0,55
11,2,2,64,1,0,50
3,30,2,357,2,1,95
1,4,1,0,1,1,500
1,7,1,332,1,0,117
11,3,3,333,3,1,72
36,15,1,307,1,0,85
37,1,7,352,1,1,249
49,1,3,105,0,0,53
2,1,1,0,1,1,125
0,29,96,322,1,1,227
0,30,5,137,1,0,67
2,7,1,263,0,1,163
3,1,1,0,1,1,200
0,1,1,0,1,1,215
2,4,1,4,1,1,299
12,9,3,160,1,0,122
9,5,1,164,1,1,199
53,1,1,33,1,0,57
9,4,1,89,1,0,87
13,5,2,14,1,1,120
1,6,1,252,1,0,175
0,14,1,0,0,0,27
2,2,1,288,0,1,161
98,2,2,264,0,0,75
1,1,1,89,2,0,70
0,5,2,8,0,1,250
2,30,1,183,1,0,60
44,3,5,363,0,1,155
23,2,2,16,1,1,85
0,30,4,339,1,1,105
3,4,1,0,1,1,300
0,3,1,0,1,0,100
7,2,1,155,0,0,60
7,5,6,24,1,0,42
0,2,1,0,1,0,70
22,1,6,265,2,1,229
8,2,1,0,0,0,70
10,3,1,0,1,1,109
5,7,1,3,0,0,60
48,5,1,341,0,0,40
132,2,1,257,0,1,370
1,15,5,343,0,0,36
7,2,1,257,1,1,245
155,1,3,179,1,0,99
0,30,6,317,1,1,175
1,30,25,0,1,1,200
14,2,1,112,2,0,110
15,4,1,13,0,1,110
62,2,3,67,2,0,69
1,10,1,0,2,0,40
6,1,1,0,1,0,40
9,30,91,342,1,1,142
7,1,2,126,0,0,55
3,5,1,66,1,0,90
63,1,1,12,1,0,89
1,10,1,0,1,1,250
9,2,3,0,0,0,50
1,8,1,0,0,1,98
18,2,1,55,1,0,80
186,2,2,230,0,1,195
0,3,1,361,1,1,450
41,1,3,274,1,0,150
26,2,1,280,1,0,32
0,3,1,0,1,1,160
0,2,1,304,1,1,700
0,3,2,0,4,0,59
77,5,1,112,0,1,365
0,4,1,290,4,1,117
1,6,1,0,2,1,75
4,3,1,270,1,1,175
3,2,1,212,1,1,250
0,2,1,9,1,1,225
1,90,1,35,0,1,109
23,3,1,9,1,0,80
24,999,6,249,0,0,79
11,5,1,34,0,1,250
23,4,1,80,1,0,70
2,3,1,0,0,1,99
153,3,1,238,1,0,80
73,3,1,131,0,1,95
23,2,1,27,1,1,190
0,1,3,0,2,1,175
2,30,52,342,1,1,100
0,3,12,360,2,2,30
0,1,1,341,0,0,100
1,30,4,151,1,1,350
2,1,1,0,2,0,85
5,3,2,158,1,0,110
3,2,1,0,0,0,85
14,7,1,13,0,1,103
74,1,1,0,2,0,50
1,4,1,0,0,0,65
2,4,1,0,2,1,70
62,21,2,96,0,0,100
1,3,1,0,2,0,80
25,2,2,152,2,0,47
1,5,1,5,0,1,80
5,2,1,0,0,0,72
0,1,1,0,0,0,99
0,30,232,157,1,1,255
4,1,1,0,1,1,200
2,2,1,0,0,0,120
44,5,1,180,1,1,385
2,2,1,0,2,0,60
2,2,1,354,2,1,248
1,7,1,0,0,0,64
8,30,12,267,1,1,150
8,1,1,352,1,1,349
10,1,1,0,0,0,63
60,3,1,67,0,1,800
0,60,1,365,1,0,1200
0,30,1,55,4,1,90
18,30,2,135,1,1,150
3,1,2,0,0,0,52
1,3,1,65,0,0,100
42,4,1,9,1,1,85
9,1,6,365,1,1,750
25,30,1,197,0,0,45
26,5,1,0,0,1,250
17,4,1,110,0,1,130
1,1,1,0,0,0,80
1,2,1,22,0,1,150
11,4,3,0,1,1,460
32,3,1,84,1,1,135
236,1,2,56,0,2,38
81,2,1,312,2,0,60
0,30,37,0,2,0,33
0,10,1,0,0,0,40
139,2,1,221,1,1,450
1,2,1,0,0,0,38
19,1,1,212,2,1,69
6,28,1,197,0,0,40
62,2,5,32,0,1,249
45,2,1,0,1,1,126
76,1,4,358,0,0,89
78,3,1,246,1,0,250
0,4,1,0,1,0,80
9,14,1,21,1,0,110
10,3,1,0,0,1,140
4,3,1,318,2,1,299
14,1,1,2,2,1,150
54,3,1,0,1,1,166
6,5,1,66,0,0,120
19,1,7,90,1,2,45
3,2,1,0,1,1,325
14,1,2,307,0,1,150
15,3,1,0,0,1,50
2,3,1,0,1,1,150
1,1,2,0,1,0,52
1,1,1,0,0,0,60
0,7,1,0,1,0,51
20,2,1,7,0,1,172
74,2,6,256,2,1,369
42,2,1,115,1,1,105
115,1,6,164,0,0,55
0,2,2,0,0,0,80
1,2,1,0,1,0,80
5,1,1,0,1,0,125
0,10,2,0,0,1,165
0,1,2,144,0,0,50
15,2,1,57,1,1,180
10,2,327,323,1,1,431
21,5,2,364,0,1,200
0,2,1,253,1,1,249
3,4,1,0,0,1,95
3,1,1,43,0,1,375
13,5,1,365,2,1,83
52,1,6,40,1,1,96
9,1,11,176,1,0,399
135,2,4,70,4,0,44
7,3,2,0,0,0,45
2,30,9,151,1,1,180
4,2,1,0,0,1,120
9,3,1,27,0,1,436
2,4,1,0,1,1,140
47,5,1,5,2,0,53
1,1,1,0,1,0,180
51,2,1,6,1,1,180
150,2,1,1,1,1,115
1,1,1,0,1,0,155
7,2,1,0,0,1,68
38,1,1,365,0,0,40
68,1,1,125,2,2,60
6,1,2,365,0,0,157
49,2,2,218,0,1,215
0,5,1,60,1,1,250
62,1,8,3,1,1,89
0,1,1,0,1,0,65
31,1,3,361,0,0,55
59,2,2,232,2,0,70
8,3,1,306,1,1,299
0,3,1,218,1,1,399
17,1,3,4,1,2,34
1,16,1,0,1,0,49
4,7,1,0,0,1,160
0,30,65,364,1,1,210
0,2,1,171,2,0,50
1,2,3,84,0,0,99
9,2,1,129,1,1,149
21,1,2,260,0,0,95
1,4,1,0,0,1,98
4,1,1,0,2,0,120
2,30,9,312,1,0,60
5,3,1,64,1,1,294
2,30,20,263,1,1,130
193,2,1,177,0,1,150
3,7,1,15,1,1,135
0,1,1,0,0,0,100
86,1,1,22,1,1,199
14,3,1,0,0,1,50
280,2,2,249,0,0,65
0,2,1,0,1,1,160
13,30,4,357,0,0,65
3,4,1,346,1,0,70
3,5,1,365,1,1,285
17,1,1,354,0,0,45
23,3,1,166,1,1,125
25,2,1,30,0,1,188
0,13,1,0,0,0,55
180,1,1,229,1,1,250
1,2,1,0,1,1,101
24,3,1,337,1,1,200
148,2,1,216,1,1,275
1,29,327,363,1,1,244
4,2,1,0,1,1,180
48,1,1,2,0,1,250
0,500,1,362,1,1,75
4,20,1,0,1,1,142
91,3,1,294,0,0,65
18,1,1,248,1,1,399
63,2,2,102,0,0,69
4,2,1,0,0,1,95
0,29,327,357,1,1,110
82,181,1,188,1,1,155
0,1,10,112,2,0,70
0,30,2,283,1,1,350
0,30,4,354,0,0,40
0,1,3,0,2,0,180
12,1,1,0,1,1,50
25,5,1,13,1,1,140
1,7,1,0,2,0,60
0,3,1,0,0,1,95
0,1,1,352,1,0,120
4,2,1,0,1,1,195
35,30,3,365,0,0,65
11,5,1,2,0,1,120
9,1,1,157,0,0,65
66,1,1,365,1,2,80
7,2,1,4,0,1,205
3,15,1,0,1,0,75
2,3,3,0,0,0,65
1,3,49,200,1,1,737
0,3,1,125,0,0,47
0,1,1,0,0,0,60
5,3,1,13,0,0,80
1,30,2,137,0,0,55
219,2,2,277,0,0,75
6,2,1,5,1,1,275
1,1,1,0,0,1,125
11,2,4,314,0,0,85
59,1,1,90,0,2,48
175,3,1,49,0,0,35
76,1,2,163,0,0,95
0,1,1,0,1,0,90
7,3,1,0,1,1,315
1,3,1,0,0,1,41
26,3,1,0,0,0,50
18,3,1,70,1,1,155
13,3,1,0,1,0,70
1,30,23,325,2,0,34
0,3,1,70,1,0,80
1,3,5,270,1,0,69
0,90,232,281,1,1,306
10,3,2,251,1,0,82
5,2,1,0,1,1,250
218,3,4,324,0,1,90
18,2,1,0,1,1,80
0,2,1,0,0,1,150
1,7,1,125,0,0,50
6,15,1,0,1,0,110
19,1,8,177,0,0,51
0,15,1,8,1,0,50
9,2,1,317,1,1,161
0,6,1,0,1,0,100
0,30,27,358,0,0,42
61,2,2,65,2,0,49
37,8,1,85,0,1,119
4,2,1,20,2,1,50
9,1,1,0,1,1,170
47,1,2,336,0,1,175
48,5,1,46,1,1,245
9,7,1,268,2,1,100
2,1,5,138,2,0,109
2,2,1,0,1,0,160
0,1,1,58,0,0,115
5,2,1,0,0,0,90
0,90,232,115,1,1,332
10,30,5,126,1,1,133
5,4,1,31,1,1,355
0,1,1,0,1,1,800
0,7,3,204,0,1,135
1,2,1,0,0,1,100
1,28,49,234,1,1,675
54,1,8,2,1,1,89
1,2,1,0,1,1,600
81,3,2,27,1,1,350
72,3,1,67,0,0,95
2,5,1,0,2,1,90
1,1,2,0,2,0,49
152,2,4,12,1,0,75
5,3,1,83,1,1,175
1,30,1,0,0,1,52
4,10,1,0,1,1,100
0,2,1,0,2,1,125
2,2,327,338,1,1,229
45,7,3,161,0,1,80
11,2,1,107,4,1,99
2,5,1,0,0,0,65
23,1,1,333,4,0,49
22,4,1,2,1,1,200
16,1,2,151,0,0,40
0,5,5,362,4,0,40
0,1,1,0,1,1,275
10,1,1,173,0,0,47
32,2,2,74,0,0,100
32,3,1,16,1,1,105
0,1,1,360,1,1,930
6,3,1,0,2,1,130
49,2,1,2,1,1,125
15,2,2,262,2,0,45
0,7,1,0,0,0,47
70,4,4,51,2,1,120
4,7,1,0,0,1,140
0,1,4,214,0,1,349
0,30,1,83,2,1,180
18,1,1,93,0,0,30
31,2,1,10,1,1,195
0,3,1,0,2,0,50
136,2,4,48,1,0,60
21,3,1,8,1,0,225
1,5,1,7,0,0,70
116,10,1,174,1,0,85
104,3,1,293,2,1,275
4,3,1,0,0,1,275
3,3,1,362,0,0,50
10,4,2,364,1,0,132
2,3,2,0,1,1,150
97,2,1,40,1,1,235
17,4,7,303,0,0,65
1,3,1,0,1,1,139
0,3,2,0,0,1,140
7,30,39,188,1,1,200
0,14,1,174,0,0,50
15,5,1,260,2,1,140
0,5,1,0,0,1,65
0,30,7,365,0,2,28
204,2,1,71,0,1,125
20,1,2,242,0,0,48
10,1,6,126,2,0,75
15,2,6,330,2,2,25
2,4,1,355,0,1,300
1,3,2,0,0,0,60
26,1,6,365,2,2,37
1,30,7,108,0,1,120
5,2,1,356,2,1,120
0,30,14,341,0,2,35
2,7,1,14,0,0,67
0,2,1,0,1,1,130
19,4,1,76,0,1,140
0,240,1,280,1,0,45
2,3,1,0,0,0,75
4,30,91,0,1,1,185
3,3,1,35,0,1,245
10,3,1,66,0,1,99
39,2,2,78,0,0,90
1,1,2,0,1,1,200
46,1,1,353,1,1,230
1,60,1,0,2,2,27
6,2,1,335,1,1,239
2,6,1,311,0,0,43
1,1,4,1,0,2,50
11,3,2,79,0,0,35
2,3,1,0,0,1,93
21,4,1,306,0,1,122
9,2,1,363,1,1,248
1,3,1,0,1,1,76
0,10,3,0,0,0,40
1,2,3,365,1,2,39
0,2,1,179,2,0,110
2,4,1,0,1,1,120
10,3,1,0,1,0,46
4,1,2,0,1,0,80
13,2,7,294,0,0,49
5,3,1,0,0,0,50
76,2,1,209,0,1,385
0,3,1,344,0,0,150
5,7,1,32,1,1,175
0,7,1,11,0,1,200
93,2,1,208,1,0,50
11,7,1,143,2,1,119
0,4,1,0,0,1,220
17,7,1,5,1,1,180
0,7,3,174,2,1,250
5,20,2,64,1,0,105
8,3,1,0,0,0,70
12,1,1,288,2,0,89
1,1,1,0,1,0,70
63,2,2,344,0,1,168
0,31,3,316,1,1,200
102,2,1,99,1,0,25
18,2,2,0,1,1,700
3,1,2,343,0,0,55
0,1,8,321,1,0,300
1,1,1,0,0,0,150
11,5,5,90,2,2,35
4,2,1,0,1,0,95
0,1,1,0,1,0,100
2,1,1,0,1,1,150
0,2,1,0,4,0,50
2,6,1,0,1,0,45
17,2,1,72,0,0,275
0,7,1,365,1,0,100
86,5,1,344,1,1,240
0,1,8,298,2,0,89
121,2,1,0,1,1,150
1,1,5,0,0,0,48
5,2,1,0,1,1,264
32,2,2,132,4,0,40
3,1,1,364,0,0,75
38,1,10,239,0,0,65
15,3,1,31,1,0,65
8,10,1,90,1,1,225
0,3,1,363,0,0,199
2,30,1,0,1,1,125
1,1,4,0,1,1,180
164,2,1,206,1,1,189
8,2,1,0,0,0,75
116,3,1,38,0,1,195
33,1,1,337,0,0,35
0,3,1,0,0,1,154
1,7,1,0,0,1,175
35,5,2,303,1,1,120
1,2,1,3,0,1,265
24,3,1,365,0,1,160
0,20,1,188,1,0,90
12,2,1,35,1,0,120
3,12,2,41,1,0,78
54,1,1,0,1,0,115
21,5,1,34,0,1,49
32,30,1,343,1,1,199
0,4,1,0,1,1,225
18,3,4,365,1,0,143
5,30,50,344,1,1,175
0,7,1,0,0,0,133
52,1,1,291,0,0,145
2,3,1,0,1,1,170
2,2,2,156,0,0,82
1,3,1,0,1,1,200
8,1,1,0,1,1,190
296,1,2,322,2,0,55
25,5,2,77,0,1,119
53,1,3,21,0,0,80
59,3,1,0,0,0,50
0,15,1,332,1,1,129
21,4,1,52,1,0,125
6,2,1,292,2,0,42
4,3,1,0,0,1,240
24,1,1,0,0,1,105
0,30,121,331,1,1,369
1,30,50,364,1,1,150
8,4,1,0,1,1,270
73,2,1,3,1,1,100
61,2,1,239,0,1,105
87,1,3,267,1,1,399
12,7,1,3,1,1,75
1,3,1,1,1,0,125
1,1,1,0,0,0,47
33,1,4,49,2,0,60
0,29,37,31,1,0,35
2,1,7,0,1,0,100
98,3,10,68,4,0,79
0,3,1,0,4,0,65
3,30,1,0,1,1,100
18,2,1,6,4,1,42
11,3,2,54,2,0,35
19,3,3,97,0,1,400
5,5,1,220,1,1,349
1,7,1,157,0,0,50
53,1,1,306,0,1,85
0,5,3,365,0,1,650
2,1,1,126,0,1,120
6,3,3,154,3,0,55
1,1,1,0,0,1,67
119,2,1,300,1,1,150
23,2,1,196,0,1,169
0,1,1,20,1,0,125
0,4,1,141,1,1,250
0,3,1,0,1,1,170
2,12,3,281,0,0,45
19,2,4,363,0,1,349
38,2,1,192,0,1,129
8,1,1,0,1,0,180
0,5,1,0,0,0,40
11,1,1,0,0,0,55
7,3,3,0,2,1,105
28,1,1,13,2,1,50
22,1,7,319,0,0,75
130,2,2,139,1,0,325
88,5,1,326,1,1,149
91,5,3,288,1,1,300
8,2,1,0,0,1,120
11,2,1,365,1,0,65
44,2,1,174,0,1,97
38,2,1,267,1,1,350
5,7,1,0,1,1,180
5,1,1,0,1,1,100
10,2,1,87,1,1,120
141,1,2,76,1,0,130
157,1,4,137,1,0,65
0,29,327,329,1,1,192
22,1,1,82,2,0,39
14,3,2,0,0,0,95
1,1,8,0,1,0,94
4,5,4,280,2,0,69
51,2,1,33,1,1,170
0,30,1,89,4,1,150
12,14,2,0,0,0,60
1,3,1,0,1,0,50
2,3,1,0,0,0,150
18,3,1,0,1,0,150
46,3,1,88,2,0,44
8,2,1,176,1,1,125
5,3,1,0,1,1,133
6,2,1,312,1,0,355
1,1,1,0,0,0,70
10,1,2,143,1,0,109
2,30,1,268,0,1,64
0,15,1,35,0,1,300
14,15,3,251,0,0,60
13,1,1,316,1,0,60
1,1,1,0,0,0,84
1,7,1,147,1,1,175
1,1,1,0,2,0,35
2,3,1,0,1,0,55
23,2,1,54,1,1,425
16,2,1,0,0,0,50
0,1,18,355,2,0,135
20,3,2,0,0,0,50
5,1,11,365,0,1,4500
13,4,1,0,1,1,179
11,1,2,256,1,0,95
2,3,2,24,1,0,200
0,5,1,60,0,0,84
3,1,1,0,0,0,50
82,1,1,67,0,0,88
0,1,1,0,2,0,37
0,5,1,358,0,0,110
1,12,1,332,1,1,750
12,2,1,132,0,1,89
0,30,232,261,1,1,365
1,1,2,0,1,0,100
2,2,1,11,0,1,198
6,2,1,0,0,1,200
22,2,1,21,0,1,350
